title:あいしあう【愛合】	type:［新項目］	date:2012年10月03日	citation:そして二人の魂は、不識（しらず）に温和に愛し合ふ	book:中原中也詩集/単行本/1981年/中原中也/（青空文庫）/	explanation:〔他ワ五〕互いに愛する。	comment:コメント：もう一つの語釈のために。	reply:第２版では、立項されませんでした。
title:くぐりこむ【潜込】	type:［新項目］	date:2013年02月12日	citation:犧牲心も相當あるところから友達からも愛されるし、女性にしては嫉妬心を押し隱す術にも長じてゐて、顏こそそんなに美人と云ふ方ではなかったが、なかなか苦勞もして來てゐて、人の心の裏までくぐり込むことの出来る性質であった。	book:定本横光利一全集 第四巻/単行本/1981年/横光利一/73/河出書房新社	explanation:〔自マ五〕狭い空間を通り抜けて入る。くぐって入る。	comment:コメント：Google Books より。この用例は比喩的なもののようです。	reply:第２版では、立項されませんでした。
title:ぶっこく【─扱】	type:［新項目］	date:2012年12月10日	citation:家で会心の屁をぶっこいても誰も何にも言ってくれないってのは、結構虚しいもんだぜ。	book:優しさのダブルバインド/単行本/2006年/水川 明大/203ページ/文芸社	explanation:〔他カ五〕（「ぶっ」は接頭語）体内にあるものを尻や口から勢いよく外に出す。放つ。たれる。ひる。	comment:コメント：こく(1) の強調です。	reply:第２版では、立項されませんでした。
title:こく	type:［新項目］	date:2012年12月10日	citation:「キリコちゃん悪くなーい。悪いのはよしこちゃんだもーん」と、いい年こいて言い張るのであった。	book:それなりのジョーシキ/単行本/1997年/玖保キリコ/（現代日本語書き言葉均衡コーパス）/角川書店	explanation:〔他カ五（四）〕（「こく（扱）と同語源か。主に「いい年こく」の形で）その年齢である。	comment:コメント：もっと古いものだと思いますが、とりあえずコーパスから。	reply:おそらく第２版の「こく」（「扱く」と同語源）と思われます。──(1)体内にあるものを尻や口から勢いよく外に出す。放つ。たれる。ひる。(2)他人がものを言うことを卑しんでいう語。ほざく。ぬかす。(3)ある事をする。好ましくない事などをするときにいう。
title:ぶっこく【─扱】	type:［新項目］	date:2012年12月10日	citation:私は、いっも文句をぶっこいていて、すっかりきらわれていました	book:ゴーマニスト大パーティー―ゴー宣レター集 (2)/単行本/2001年/小林 よしのり/192/ポット出版	explanation:〔他カ五〕（「ぶっ」は接頭語）他人がものを言うことを卑しんでいう語。ほざく。ぬかす。	comment:コメント：こく(2) の強調。	reply:第２版では、立項されませんでした。
title:ぶっこく【─扱】	type:［新項目］	date:2012年12月10日	citation:何を、余裕ぶっこいていやがるっ！	book:ファイア・トルネード―ボクは何も望まない/単行本/2001年/服部 哲丈/232ページ/文芸社	explanation:〔他カ五〕（「ぶっ」は接頭語。「余裕ぶっこく」の形で）余裕がある態度を取る。	comment:コメント：「余裕こく」の強調です。「調子ぶっこく」と似ているのですが、とりあえず別にしました。	reply:第２版では、立項されませんでした。
title:こく【扱】	type:［語釈］	date:2012年12月10日	citation:一番後に降りりゃいいか、くらい余裕こいて座っていると	book:PURA VIDA!　プーラヴィーダ！ 迷ってないで、コスタリカでも行ってみようぜ！/単行本/2004年/林宏至/24ページ/文芸社	explanation:〔他カ五（四）〕（「余裕こく」の形で）余裕のある態度を取る。	comment:コメント：「調子こく」と似ていますが。	reply:第２版では、この用法に触れていませんね。
title:でんぱ【電波】	type:［語釈］	date:2012年12月19日	citation:あわてて編集部に頼んで探してもらった人は、アンドロメダの亜種のような電波女で	book:『エロイカより愛をこめて』の創りかた/単行本/2005年/青池保子/156ページ/マガジンハウス 	explanation:精神に異常をきたしていること。	comment:コメント：Wikipedia 記事「電波系」に詳細な解説があります。かなり使用範囲が広い表現で、「電波女と青春男」という書籍の「電波」もこの用法です。	reply:第２版では、この意味に触れていません。
title:こく【扱】	type:［語釈］	date:2012年12月10日	citation:機嫌が良くなるようにと控えめに調子こいてしゃべっていたら	book:16歳の涙/単行本/2000年/Etsuko/72ページ/文芸社	explanation:〔他カ五〕（「調子こく」の形で）調子に乗った態度を取る。	comment:コメント：「余裕こく」と似ていますが。	reply:第２版では、この用法に触れていませんね。
title:せんずる【千摺】	type:［新項目］	date:2013年02月03日	citation:せんずって、誰が一番遠くまで	book:川柳末摘花輪講 二篇/単行本/1996年/西原亮/44ページ/太平書屋	explanation:〔自ラ五〕せんずりをする。男性が自慰行為をする。	comment:コメント：「せんずり」の投稿を見て、動詞「せんずる」の存在を思い出して Google Books で検索しました。	reply:第２版では、立項されませんでした。
title:うたれよわい【打弱】	type:［新項目］	date:2013年02月04日	citation:率直にいえば、朝日新聞は外部に打たれ弱いと思う。	book:報道の死角―識者と記者による朝日新聞批評/単行本/1981年/朝日新聞労働組合/（不明）/講談社	explanation:〔形口〕攻撃・逆境・批判などにへこたれやすい。	comment:コメント：Google Books より。ページ数不明で申し訳ありません。「打たれ強い」からの派生だと思っていたのですが、こちらのほうが先なのかもしれません。	reply:第２版では、立項されませんでした。
