title:あいしあう【愛合】	type:［新項目］	date:2012年10月03日	citation:そして二人の魂は、不識（しらず）に温和に愛し合ふ	book:中原中也詩集/単行本/1981年/中原中也/（青空文庫）/	explanation:〔他ワ五〕互いに愛する。	comment:コメント：もう一つの語釈のために。	reply:第２版では、立項されませんでした。
title:かさだかい【嵩高】	type:［新項目］	date:2013年02月09日	citation:父に先だって没し、平氏の総帥として采配を振う機会を得なかった重盛は、しょせん、清盛の陰にかくれた存在であり、歴史の実際の局面では、『平家物語』が示すほどに、かさ高い存在ではなかったのである。	book:平家物語の&amp;#34395;構と真実/単行本/1973年/上横手雅敬 /85/講談社	explanation:〔形口〕人を見下して頭からおさえつけるような態度である。高圧的で無礼である。	comment:コメント：Google Books より。不正確であれば申し訳ありません。現代ではこの意味で使わないと思いますが。	reply:第２版では、立項されませんでした。
title:かさねあわさる【重合】	type:［新項目］	date:2013年02月09日	citation:おそらくかういふ風に主人公と作者が重ね合はさるやうな書き方をしてはならなかつたし、まして主人公の心に後悔といふフィルタ一をかけてしまつてはならなかつたのです。	book:志賀直哉論/単行本/1954年/中村 光夫/198/文藝春秋新社	explanation:〔自ラ五（四）〕二つ以上の物が重なる。また、対応づけられる。	comment:コメント：「かさねあわせる」の自動詞です。Google Books より。	reply:第２版では、立項されませんでした。
title:かさなりあわさる【重合】	type:［新項目］	date:2013年02月09日	citation:棒グラフが重なり合わさるグラフを作成するには	book:Excel2007グラフ逆引き大全320の極意: Windows Vista/XP対応 Excel2003/2002対応/単行本/2007年/E-Trainer.jp（高柳靖子）/209/秀和システム	explanation:重ね合わされる。重なり合う。	comment:コメント：「重なり合う」と同じような意味ですが。古いものもあるはずですが、とりあえず。	reply:第２版では、立項されませんでした。
title:かさねぎる【重着】	type:［新項目］	date:2013年02月09日	citation:されど是を重ね着る事は非鱧也と有職の人のいひける。	book:随筆百花苑 第七巻/単行本/1980年/森 銑三/273/中央公論社	explanation:衣服を重ねて着る。	comment:コメント：「かさねぎ」の動詞です。	reply:第２版では、立項されませんでした。
title:かさねぬり【重塗】	type:［新項目］	date:2013年02月09日	citation:岩絵具を重ね塗りする場合は最初は膠分を少し強めにし、順次薄く使用すると絵具の発色がいいものです。	book:日本画の技法/単行本/1959年/吉岡堅二/69/美術出版社	explanation:〔名〕絵の具などをすでに塗ってあるところに、上から重ねて塗ること。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:かさねぬる【重塗】	type:［新項目］	date:2013年02月09日	citation:髮際の表現に縁(髮際)を塗り残して群青を重ね塗る.	book:仏画の鑑賞基礎知識/単行本/1991年/有賀祥隆/18/至文堂	explanation:〔他ラ五（四）〕絵の具などがすでに塗られているところに、上から重ねて塗る。	comment:コメント：「かさねぬり」の動詞化です。	reply:第２版では、立項されませんでした。
title:かしはがし【貸剥】	type:［新項目］	date:2013年02月09日	citation:失業の元凶と名指しされている貸し渋り、貸しはがしの銀行も△100兆円也の逃げ水不良債権の発生で	book:リストラ・ダムス豫言的中/単行本/2000年/出口直継/205/文芸社	explanation:〔名〕貸し付けている資金を返済するよう無理に迫ること。	comment:コメント：バブル崩壊後にはやった言葉です。	reply:第２版では、立項されませんでした。
title:かしはがす【貸剥】	type:［新項目］	date:2013年02月09日	citation:自らがこの状態では、当然与信先に対する将来リスクの見極めについても、単純に貸し渋るか、あるいは貸し剥がすしか手がなかったということがいえるのではあるまいか。	book:リスクマネジメントはじめの一歩!/単行本/2009年/竹川 享志/130/青月社	explanation:〔他サ五（四）〕貸し付けている資金を返済するよう無理に迫る。	comment:コメント：「貸しはがし」の動詞化です。	reply:第２版では、立項されませんでした。
title:かじりとる【齧取】	type:［新項目］	date:2013年02月09日	citation:一人だけの場所で、爪を噛み、しだいに苛立って爪を齧り取り	book:吉行淳之介 (群像 日本の作家)/単行本/1991年/吉行淳之介/278/小学館	explanation:〔他ラ五（四）〕対象物の一部をかじって口に入れる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:かそる【過疎】	type:［新項目］	date:2013年02月09日	citation:ニュ―ス系の板に比べると過疎ってるんだけど	book:ロスジェネ 創刊号/雑誌/2008年/赤木 智弘, 浅尾 大輔, 雨宮 処凛/84/かもがわ出版	explanation:〔自ラ五〕過疎状態になる。人がいなくなる。	comment:コメント：ネット用語ですが。	reply:第２版では、立項されませんでした。
title:かたりおろす【語下】	type:［新項目］	date:2013年02月09日	citation:小林よしのりが語り下ろしを収録	book:ず・ぼん 3: 図書館人が植民地でやったこと他/単行本/1996年/ず・ぼん3編集委員会/目次ページ/ポット出版	explanation:〔自サ五（四）〕新しく語り、それを筆記し作品とすること。	comment:コメント：「書き下ろし」に対応する形だと思います。	reply:第２版では、立項されませんでした。
title:かたりこむ【語込】	type:［新項目］	date:2013年02月09日	citation:またそればかりでなく、参加者が夜を徹して熱く語り込む姿も強く印象に残っている。	book:私の夢先案内人/単行本/2007年/岡村正義/43/文芸社	explanation:〔自マ五（四）〕語りに夢中になる。	comment:コメント：「話し込む」に似ています。	reply:第２版では、立項されませんでした。
title:かっちょいい【─良】	type:［新項目］	date:2013年02月09日	citation:これが台湾新幹線のような鮮やかなカラーリングだったら結構かっちょいいだろうに。	book:新幹線の時代/単行本/2008年/いのうえこーいち/44/エイ出版社	explanation:〔形口〕姿、形、様子などがすぐれていて好ましい。見ばえがよい。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。
title:かっちょわるい【─悪】	type:［新項目］	date:2013年02月09日	citation:23才にもなって親同伴で、自分の行く国の大使館に向かう、と云うのは……どうにもかっちょ悪いではないか!	book:泣いた、笑った、僕のルーマニア!!/単行本/2001年/佐橋 拓/25/文芸社	explanation:〔形口〕姿、形、様子などが好ましくない。	comment:コメント：とりあえず。	reply:「かっちょ」は「格好」のなまりでしょうね。
title:カニバる	type:［新項目］	date:2013年02月09日	citation:大企業はこれまで引きずってきたものや過去の成功例があるし、カニバる（＝他社と競合する）ことへの不安もあって、なかなか踏み出せずに躊躇している。	book:電子書籍と出版/単行本/2010年/高島 利行, 仲俣 暁生, 橋本 大也, 山路 達也, 植村 八潮, 星野 渉, 深沢 英次, 沢辺 均&amp;#160;&amp;#160;/42/ポット出版	explanation:〔自ラ五〕他社と競合する。食い合いになる。	comment:コメント：カッコ内に解説があり、まだ定着していない様子がうかがえます。	reply:カニバるは、cannibalism (共食い）から来ているのでしょうね。
title:かねもつ【兼持】	type:［新項目］	date:2013年02月09日	citation:俗文学の方は、慰みである為に、教訓、報道、甚しい好色味の如き&amp;#23067;楽性など、功利的な属性を兼ね持つものもある。	book:中村幸彦著述集 第3巻/単行本/1983年/中村幸彦/119/中央公論社	explanation:〔他タ五〕二つ以上の性質や要素を同時に持ち合わせる。兼ね備える。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:かもしでる【醸出】	type:［新項目］	date:2013年02月09日	citation:そこにスウィ―トな味わいが醸し出ることも一つの根拠にはなるかもしれないが	book:不如歸 (ほとゝぎす) の時代 : 水底の漱石と青年たち/単行本/1990年/藤井 淑禎/162/名古屋大学出版会	explanation:〔自ダ下一〕ある気分や雰囲気が、徐々に作り出される。醸し出される。	comment:コメント：「醸し出す」に比べるとかなり数が少なく、「誤用」と分類することもできるかもしれませんが、とりあえず。	reply:誤用っぽいですね。
title:かりそろえる【借揃】	type:［新項目］	date:2013年02月09日	citation:山間の小規模な宿場であったが大大名が宿泊する時は近くの宿場から夜具や調度品を借り揃えたという。	book:逍遥ひとり旅 東海道篇/単行本/2004年/三田末治 /97/文芸社	explanation:〔他ア下一〕借りて整える。揃うように借りる。	comment:コメント：「かいそろえる」に似ています。	reply:第２版では、立項されませんでした。
title:おとながい【大人買】	type:［新項目］	date:2013年02月09日	citation:「大人買い」とは、まとめてコレクションを買ってしまうこと。	book:アトム・ジェネレーション/単行本/2002年/小池信純 /85/文芸社	explanation:〔名〕子供が一つずつ買うようなものを、大人の経済力でまとめて買うこと。	comment:コメント：最近よく使われる言葉です。	reply:第２版では、立項されませんでした。
title:おとながり【大人借】	type:［新項目］	date:2013年02月09日	citation:私はちょこちょこ録画せずに、見たいドラマは思い立った休日に全巻ビデオショップで大人借りします。	book:元「片づけられない女」の幸せの引き寄せ方　片づけ道/単行本/2011年/吉川 永里子/148/主婦の友社	explanation:〔名〕レンタルショップなどで、シリーズとなっている録画物などを一気にまとめて借りる。	comment:コメント：「大人買い」からの派生のようです。	reply:第２版では、立項されませんでした。
title:かれあがり【枯上】	type:［新項目］	date:2013年02月09日	citation:下葉の枯れ上がりが少なく、熟色は良好である。	book:日本農業年鑑 1959/単行本/1959年/日本農業年鑑刊行会/105/家の光協会	explanation:〔名〕栄養・日照などの不足により、下からだんだんと枯れていくこと。	comment:コメント：イネについてのものと、ヒノキなどについてのものがあるようです。	reply:第２版では、立項されませんでした。
title:かれあがる【枯上】	type:［新項目］	date:2013年02月09日	citation:マツを自然のままにしておきますと、下枝が上枝の陰になって光合成が十分にできないために、次第におとろえて葉も少なくなり、ついには枯れ上がってしまいます。	book:庭木の管理12カ月/単行本/1978年/吉田 徳治/5/保育社	explanation:〔自ラ五〕日照・栄養不足などにより、下のほうから枯れていく。	comment:コメント：「枯れ上がり」に対応する動詞です。	reply:第２版では、立項されませんでした。
title:かれこむ【枯込】	type:［新項目］	date:2013年02月09日	citation:数年実をつけた古い枝は枯れ込むので株元から切り落とすようにします。	book:おいしいベリーを育てる本 (趣味の教科書)/単行本/2008年/平野 威/159/エイ出版社	explanation:〔自マ五〕古い枝などが外から枯れる。	comment:コメント：これは外側から枯れる場合に使われるようです。	reply:第２版では、立項されませんでした。
title:かれほそる【枯細】	type:［新項目］	date:2013年02月09日	citation:隣の空き地には枯れ細ったススキが淡い日差しを浴びてぼんやりと光って見える。	book:明日へつなぐ日々/単行本/2003年/西川龍彦/107/文芸社	explanation:〔自ラ五〕枯れて細くなる。	comment:コメント：そのままの意味ですが、とりあえず。	reply:第２版では、立項されませんでした。
title:かんれんづく【関連付】	type:［新項目］	date:2013年02月09日	citation:サーブレットは、それぞれのセッションと関連付いたー意な情報(例えば、ヒット数やショッピングカートの中身)を格納する他の記憶機構(つまりフラットファイル、メモリ、データベース)を使用できるので、そのアクセスは多くのアプリケーションにとって十分なものだ。	book:J2EEクイックリファレンス/単行本/2001年/デイビット フラナガン (著), ウィリアム クロフォード (著), ジム フィーリィ (著), クリス マグヌスン (著), David Flanagan (原著), William Crawford (原著), Jim Farley (原著), Kris Magnusson (原著), 今野 睦 (翻訳), オブジェクト指向研究会 (翻訳) /177/オライリー・ジャパン	explanation:〔自カ五〕コンピュータ上などで、情報の間に関係が設定されている。	comment:コメント：コンピュータ用語としての「関連付ける」からです。	reply:第２版では、立項されませんでした。
title:がきくさい【餓鬼臭】	type:［新項目］	date:2013年02月09日	citation:もちろん年齢はずいぶん上だけど、学校の未発達でガキ臭い女どもよりずっと女らしい。	book:巨人たちの国々/単行本/2011年/伊藤 靖朗/23/PHP研究所	explanation:〔形口〕（「臭い」は接尾語）言動や容姿などがまるで子どものようである。幼稚である。	comment:コメント：「こどもっぽい」があるため。語釈を流用しました。	reply:第２版では、立項されませんでした。
title:がきっぽい【餓鬼─】	type:［新項目］	date:2013年02月09日	citation:ビ―トルズが来日したころ、ガキっぽい歌だと思っていた人々も、その後、次第にビ―トルズの面白さと魅力に引きつけられて行くといった過程があったと思うが、	book:戦後欲望史 (黄金の六〇年代篇)/単行本/1984年/赤塚行雄/141/講談社	explanation:〔形口〕（「ぽい」は接尾語）言動や容姿などがまるで子どものようである。幼稚である。	comment:コメント：これも「子供っぽい」から流用しました。	reply:第２版では、立項されませんでした。
title:がんがる	type:［新項目］	date:2013年02月09日	citation:がんがって欲しいよ、マジで。	book:電車男/単行本/2004年/中野独人/46/新潮社	explanation:「頑張る」がインターネット上で変化した語。困難に屈せず、努力しつづける。忍耐してやりとおす。	comment:コメント：口頭で使われることはあまりないと思いますが、ネット上では息長く使われている言葉です。	reply:第２版では、立項されませんでした。
title:がんちくぶかい【含蓄深】	type:［新項目］	date:2013年02月09日	citation:しかし「創造者の道」の章の中で、ツァラトゥストラが最も強調している点は、「力への意志」にねざした自己超克の意志の実践を、自分自身の究極の課題としてうたっている、次の含蓄ぶかい記録にあるであろう。	book:ニーチェ―闇の中の断絶と光芒 /単行本/2003年/金輪 杉芳/345/文芸社	explanation:〔形口〕意味が深くあじわいがある。含蓄が深い。	comment:コメント：意味は「含蓄が深い」そのままですが、連濁があるため。珍しく、連濁の存在がはっきりわかる資料です。	reply:第２版では、立項されませんでした。
title:かいご【[言圭]語】	type:［新項目］	date:2013年02月10日	citation:一たび&amp;#35455;語を聞き從ふ者靡然たり	book:鮮人之記せる豊太閤征韓戦記/単行本/1910年/青柳綱太郎/306/朝鮮研究会	explanation:〔名〕誤った言葉。	comment:コメント：「聞き従う」の用例を探していて見つけました。文字化けしてしまうかもしれませんが、ごんべんに圭です。	reply:第２版では、立項されませんでした。
title:ききしたがう【聞従】	type:［新項目］	date:2013年02月10日	citation:汝等我が汝に命ずる事毎に、吾が聲に聞き從ひたり。	book:舊約聖書物語/単行本/1909年/ウォーター・エル・シェルドン原著 ; 宮崎八百吉訳/207/内外出版協會	explanation:〔自ワ五（四）〕聞いて従う。	comment:コメント：「聞き従う」を一語のように使う用例はキリスト教関係に多いようです。	reply:第２版では、立項されませんでした。
title:はいよ【配与】	type:［新項目］	date:2013年02月10日	citation:同時にヨシユアは其の征服したるカナンの地を區分し、抽籤を以て之を他の諸支族に配與せり。	book:舊約聖書物語/単行本/1909年/ウォーター・エル・シェルドン原著 ; 宮崎八百吉訳/207/内外出版協會	explanation:〔名〕配り与えること。配分すること。	comment:コメント：「聞き従う」と同ページに見慣れない言葉があったので。	reply:第２版では、立項されませんでした。諸橋『大漢和辞典』にも見あたりませんね。
title:ききすすむ【聞進・聴進】	type:［新項目］	date:2013年02月10日	citation:これに、私が、彼の話の内容を聞き進むにつれ、緊張したし、用心深い態度を示したので	book:昭和動乱私史〈上〉/単行本/1971年/矢次 一夫/18/経済往来社	explanation:〔他マ五（四）〕順を追って聞いていく。	comment:コメント：「読み進む」と同じ構成の語です。	reply:第２版では、立項されませんでした。
title:ききすすめる【聞進・聴進】	type:［新項目］	date:2013年02月10日	citation:話がこみ入ってきたり、長くなる話の展開では、適宜メモ(読解過程の要点のふりわけ能力が、ここに生きてくる)を取りながら、おのれの心にまとまりをつけて、聞き進めていくことが大切である。	book:国語教育の構造と思考（4）　小学高学年/単行本/1967年/沖山光/31/明治図書	explanation:〔他マ下二〕「ききすすむ（聞進）」に同じ。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:きざみいれる【刻入】	type:［新項目］	date:2013年02月10日	citation:其の眼象を竪に三角の刻み目を並べ刻み入れて緑青にて塗りたるは青瑣なり	book:故實叢書 安齋隨筆 自四至六/単行本/1900年/伊勢貞丈/138/東京築地活版製造所	explanation:〔他ラ下一〕文字や模様などを彫りつける。刻みつける。刻み込む。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:きざみいれる【刻入】	type:［新項目］	date:2013年02月10日	citation:新に糸量の百分の八乃至十三の石鹸を取り練釜の温湯中に刻（きざ）み入れて溶解（とか）し	book:初学染色法　絹染之部/単行本/1888年年/山岡次郎/18/長谷部仲彦 十一堂	explanation:〔他ラ下一〕刻んで入れる。	comment:コメント：今でも料理などで常用される語です。	reply:第２版では、立項されませんでした。
title:きしょい	type:［新項目］	date:2013年02月10日	citation:「辛すぎて食べられない」だの「てか、納豆にカレーってキショい」などと辛口のコメントが寄せられたにもかかわらず	book:マリモ/単行本/2002年/山崎 マキコ//PHP研究所	explanation:〔形口〕気味が悪い。不愉快だ。	comment:コメント：Google Books でのプレビューにページ表記がなかったため、ページは不明です。	reply:「キモい」が「気持ち悪い」から来ているとしたら、これは「気色悪い」からでしょうか。
title:つくりこむ【作込】	type:［新項目］	date:2013年02月10日	citation:この再テストには、欠陥部分が正しく修正されているかどうかを確認するテスト(確認テスト)と、新たに作り込んだ欠陥がないこと、および他への影響がないことを確認するテスト(回帰テスト)の 2 種類があります。	book:ソフトウェアテスト教科書 JSTQB Foundation 第3版/単行本/2011年/大西 建児, 勝亦 匡秀, 佐々木 方規, 鈴木 三紀夫, 中野 直樹, 町田 欣史, 湯本 剛, 吉澤 智美/110/翔泳社	explanation:〔他マ五〕ソフトウェアなどを作る過程で、欠陥を混入させる。	comment:コメント：最近見たので。	reply:第２版では、立項されませんでした。
title:つくりこむ【作込】	type:［新項目］	date:2013年02月10日	citation:ぼく自身、昔の少年少女誌の付録を手に入れるたびに、紙でよくここまで作り込んだものだと驚かされたものです。	book:「おまけ」の博物誌 (PHP新書)/単行本/2003年/北原 照久/87/PHP研究所	explanation:〔他マ五〕細かいところまで念入りに手間をかけて作る。	comment:コメント：一般の辞書にもある語義で、もっと古い用例もあると思いますが、とりあえず。	reply:第２版では、立項されませんでした。
title:きひんたかい【気品高】	type:［新項目］	date:2013年02月10日	citation:常（つね）に気品（きひん）高（たか）き人に接（せつ）して其言論（げんろん）を聞（き）き其風采（ふうさい）を仰（あふ）ぎ或は高尚なる書（しよ）を讀（よ）んで深遠（しんゑん）の理（り）を講（かう）ずるが如き最も有力（いうりよく）なる方法（はうはふ）にして	book:福翁百話 全/単行本/1902年/福沢諭吉/154/時事新報社	explanation:〔形口〕（「きひんだかい」とも）芸術作品や人の容貌・身のこなしなどが、どことなく上品に感じられる。	comment:コメント：現代では連濁することも多いと思いますが、この用例では連濁していません。	reply:第２版では、立項されませんでした。
title:きめうち【決打】	type:［新項目］	date:2013年02月10日	citation:「どう解決するの？」という仮説を立てるとき、最初から決め打ちでつくってはいけない。	book:パワーポイントによる企画・プレゼンの技術 (ポケットサイズのノウハウ・ドゥハウ)/単行本/2002年/HRインスティテュート, 野口 吉昭 /36/PHP研究所	explanation:〔名〕融通を利かせず、行動をひとつに決めること。	comment:コメント：新しい辞書には載っている語のようです。	reply:第２版では、立項されませんでした。
title:きめうち【決打】	type:［新項目］	date:2013年02月10日	citation:初球、打者には「まだ追い込まれていない」と余裕があるため、思い切った決め打ちをしてくる可能性がある。	book:理想の野球/単行本/2012年/野村 克也/44/PHP研究所	explanation:〔名〕（囲碁・野球などで）あらかじめ決めたとおりに打とうとする。	comment:コメント：古いものもあると思いますが、とりあえず。	reply:第２版では、立項されませんでした。
title:きめうつ【決打】	type:［新項目］	date:2013年02月10日	citation:ただ、この本の分類は、事前に決め打つものではなく、時を経るにつれ変わっていきます。	book:仕事ができる人になる!厳選100冊/単行本/2009年/PHP研究所/26/PHP研究所	explanation:〔他タ五〕融通を利かせず、決めたとおりにする。	comment:コメント：「決め打ち」に対応する動詞です。	reply:第２版では、立項されませんでした。
title:きもかわいい【―可愛】	type:［新項目］	date:2013年02月10日	citation:実は「キモかわいい」スタンプが、LINEの人気を支えている！？と言っても過言ではないくらい、LINEではスタンプ機能が大人気です。	book:できるポケット LINE 公式ガイド スマートに使いこなす基本&amp;活用ワザ 100 /単行本/2012年/コグレマサト, まつゆう, できるシリーズ編集部/13/インプレスジャパン	explanation:〔名〕気味が悪いと同時に、かわいらしくもある。	comment:コメント：最近よく使われます。	reply:第２版では、立項されませんでした。
title:おとなかわいい【大人可愛】	type:［新項目］	date:2013年02月10日	citation:大人かわいいプリント柄が人気のクロスを5枚組みにして。	book:私のパッチワーク時間 (vol.1(2006))/単行本/2006年/日本ヴォーグ社/96/日本ヴォーグ社	explanation:〔名〕大人っぽく、またかわいらしい。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:きゃぴる	type:［新項目］	date:2013年02月10日	citation:キャピってる女の子たちは学生さんが多いので たいてい1か月で帰ってしまう	book:ワーキングホリデーinオーストラリア/単行本/2012年/おがたちえ/13/アスキー・メディアワークス	explanation:〔自ラ五〕若い女性などが、元気で明るく騒々しい。	comment:コメント：「きゃぴきゃぴ」が動詞化したものです。もっと古くからあるもののようですが、とりあえず。	reply:第２版では、立項されませんでした。
title:きょどる	type:［新項目］	date:2013年02月10日	citation:「シュンくん うちと喋るとき キョドるんです」「…挙動不審？」	book:息子と娘と宇宙人/単行本/2007年/李 丞/43/文芸社	explanation:〔自ラ五〕落ち着きがない様子で行動する。挙動が不審である。	comment:コメント：最近よく聞く言葉です。	reply:第２版では、立項されませんでした。
title:きょひる【拒否る】	type:［新項目］	date:2013年02月10日	citation:それだけのことを私はしてしまっている。拒否られても当たり前なんだ。	book:刹那主義/単行本/2007年/椿野 倫子/6/文芸社	explanation:〔自ラ五〕「拒否する」の口語的な言い方。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:きりかく【切欠】	type:［新項目］	date:2013年02月10日	citation:パイプの横側に細いみぞを作り、そのみぞの後部に凹みを切り欠いてそこに引っかかったものを、指で外して撃つ装置のもの	book:日本人形玩具辞典/単行本/1968年/斎藤 良輔/292/東京堂出版	explanation:〔他カ五〕切ってへこみをつくる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:きりととのえる【切整】	type:［新項目］	date:2013年02月10日	citation:細菌は植物の表皮のクチクラ(角皮)を貫通することができないので,植物の気孔,水孔など開口部を通って侵入したり,昆虫の食害や風などによってできた傷口や剪定(樹木などの枝を切り整え,開花,結実などをよくすること)の切断面などから侵入する。	book:改訂版 緑化植物の保護管理と農業薬剤/単行本/2010年/職業能力開発総合大学校 能力開発研究センター (編集) /65/職業訓練教材研究会	explanation:〔他ア下一〕樹木などの枝を切り、見栄えや開花、結実などをよくする。剪定する。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:きりとばす【切飛】	type:［新項目］	date:2013年02月10日	citation:脅かしだけでなく、いつかは教壇で、戦地で支那人の首を一並べに切り飛ばしたことを言った。	book:酷月/単行本/2005年/岩崎 芳生/126/文芸社	explanation:〔他サ五〕切り離して飛ばす。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:きりとばす【切飛】	type:［新項目］	date:2013年02月10日	citation:全ての牌が見えない麻雀のように多少の危険牌でも切り飛ばしていくということが非常に難しくなるのである。	book:ユリイカ2009年10月号 特集=福本伸行 『アカギ』『カイジ』『最強伝説 黒沢』…賭けつづけるマンガ家 /雑誌/2009年9月28日/福本 伸行, 大槻 ケンヂ, 大森 美香/104/青土社	explanation:〔他サ五〕マージャンで、相手にあがられる可能性の高いパイを思い切って捨てる。	comment:コメント：マージャン用語ですが。	reply:第２版では、立項されませんでした。
title:きりはなれる【切離】	type:［新項目］	date:2013年02月10日	citation:両面から切り目を入れるわけですから、切り方が深すぎると、キュウリが切り離れてしまいます。	book:「お料理ことば」基本のキホン―作る前に知っておきたい/単行本/2004年/長坂 幸子 (監修) //PHP研究所	explanation:〔自ラ下一〕切れてばらばらに離れる。	comment:コメント：ページは不明です。	reply:第２版では、立項されませんでした。
title:きりまぜる【切混】	type:［新項目］	date:2013年02月10日	citation:ご飯を飯台に打つし、すし酢を加えながらしゃもじで切り混ぜていく。	book:おうちで作る郷土ごはん (エイムック 1808)/単行本/2009年/小野 藤子/40/エイ出版社	explanation:〔他ザ下一〕飯などを、しゃもじなどで切るようにしながら混ぜる。	comment:コメント：料理用語のようです。	reply:第２版では、立項されませんでした。
title:きれあじするどい【切味鋭】	type:［新項目］	date:2013年02月10日	citation:それは、初期の『羅生門』や『鼻』が、彼の恋愛とその行き詰りの中から、人間の持つエゴイズムの醜悪さを一つの理論としてのみ抜き出し、その理論を明快に、切れ味鋭く作品の中に形象したことを考えても、十分に理解できるであろう。	book:芥川文芸の世界/単行本/1977年/吉村 稠, 中谷 克己/128/明治書院	explanation:〔形口〕刀などがよく切れる。また、話などが論理的に明快である。	comment:コメント：語義を分けるところでしょうか。	reply:「切れ味」の子見出しにすべきかもしれません。
title:きれおちる【切落】	type:［新項目］	date:2013年02月10日	citation:するとどうであらう、子供の兩耳がほんとうに切れ落ちて、烈しい出血のためにとう&amp;#12339;&amp;#12341;息絶えてしまつた。	book:奄美大島と大西郷/単行本/1927年/昇 曙夢/337/春陽堂	explanation:〔自他上一〕切れて落ちる。	comment:コメント：そのままですが。	reply:第２版では、立項されませんでした。
title:きわける【着分】	type:［新項目］	date:2013年02月10日	citation:時と場所によって着分けるのだ。	book:現代人の情報行動/単行本/1980年/中野収/72/NHK出版	explanation:〔他カ下一〕時と場合に合わせて着る服を変える。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:ぎとつく	type:［新項目］	date:2013年02月10日	citation:天つゆの薬味におろし大根が添えられるのは、油でギトつく口をさっぱりさせたり、ジアスターゼで消化を助けるためばかりではない。	book:料理もマナーもこれでカンペキ! 「和食」ワザあり事典/単行本/2001年/快適生活研究会//PHP研究所	explanation:〔自カ五〕油が多く、ぎとぎとする。	comment:コメント：もっと古くからあるとは思いますが、とりあえず。	reply:第２版では、立項されませんでした。
title:くいあるく【食歩】	type:［新項目］	date:2013年02月11日	citation:山本郡の海岸地方では、子供達が何も附けずに、この莖を青い汁を滴らし乍ら食ひ歩くさうである。	book:アチツクミウーゼアム彙報 第三 羽後角館地方に於ける鳥虫草木の民俗学的資料/単行本/1935年/武藤鐵城/190/アチツクミウーゼアム	explanation:〔自カ五〕食べながら歩く。	comment:コメント：こちらはそのままの意味です。	reply:第２版では、立項されませんでした。
title:くいあるく【食歩】	type:［新項目］	date:2013年02月11日	citation:樂しみは種類が多く、同じ旅行でも風景を眺めるのがあり、温泉に涵るのがあり、名物を食ひ歩くのがあり、彌次喜多のまねをするのがあり、似ても似つかぬのがある。	book:人の行路/単行本/1937年/三宅雪嶺, 三宅雄二郎/16/実業之世界社	explanation:〔自カ五〕土地の名物料理やめずらしい食べ物などをあちこち食べてまわる。	comment:コメント：こちらは今掲載されている「食べ歩く」と同じ意味です。もっとも、「食べ歩く」にも「食べながら歩く」があるかもしれませんが、今回は調べていません。	reply:第２版では、立項されませんでした。
title:くいしぶる【食渋】	type:［新項目］	date:2013年02月11日	citation:冬場の産卵期には一時的に食い渋る。	book:釣り魚カラー図鑑/単行本/1994年/豊田 直之, 西山 徹, 本間 敏弘/175/西東社	explanation:〔他ラ五〕（釣りで）魚がなかなか食いつかない。	comment:コメント：「食う」と「〜渋る」の組み合わせですが、釣り用語として使われているようです。古いものもあると思いますが、とりあえず。	reply:第２版では、立項されませんでした。
title:くいだおれる【食倒】	type:［新項目］	date:2013年02月11日	citation:その結果は一つの催しに二つの配慮が及んで倍量となり、酒好きは酔いつぶれ、大食漢は食い倒れて、宴席はいやが上にも盛大となるのが常であった。	book:桶屋喃平繁盛記/単行本/2003年/恵乃崎ただえ/136/文芸社	explanation:〔自ラ下一〕とことんまで食べ、満腹になって横たわる。	comment:コメント：そのままの意味で使われているようです。	reply:第２版では、立項されませんでした。
title:くいだおれる【食倒】	type:［新項目］	date:2013年02月12日	citation:二人で大阪で食い倒れて新幹線で帰京。	book:老いの災厄/単行本/2012年/鈴木 健二/144/PHP研究所	explanation:〔自ラ下一〕飲食に贅沢すること。	comment:コメント：「食い倒れ」からと思われますが、貧乏になるとのニュアンスはないように思えます。	reply:第２版では、立項されませんでした。
title:くくりだす【括出】	type:［新項目］	date:2013年02月12日	citation:「右近を添へて乘すれば」を姑く括弧で括り出して主文の外に置き	book:釋評源氏物語 巻三 夕顔/単行本/1943年/島津久基/269/中興館	explanation:括弧でくくり、主となる部分から分離する。	comment:コメント：数学などでもよく使います。また、比喩的に「共通項をくくり出す」という使い方もあるようですが、とりあえずこちらだけ。	reply:第２版では、立項されませんでした。
